Date,portfolio_value,daily_return,cumulative_return
2024-03-04,3644.6305236816406,-0.009623894136467914,0.3680553617002943
2024-03-05,3577.188720703125,-0.01850442796335605,0.36124470777318424
2024-03-06,3484.7220764160156,-0.02584897010100551,0.35190690412280873
2024-03-07,3555.3309631347656,0.020262415529955335,0.35903738804200525
2024-03-11,3442.2993774414062,-0.031792141678337105,0.3476228205335537
2024-03-12,3314.538604736328,-0.03711495099535478,0.33472081658458386
2024-03-13,3051.57177734375,-0.07933738560679615,0.308164942088591
2024-03-14,3165.361785888672,0.037288983136412046,0.3196560994173659
2024-03-15,3151.3541259765625,-0.004425295071974422,0.31824152685588764
2024-03-18,3197.1798400878906,0.014541594590588014,0.32286926612131567
2024-03-19,3120.309799194336,-0.02404307694228469,0.3151064955136619
2024-03-20,3113.172149658203,-0.0022874810501110066,0.3143856953764075
2024-03-21,3223.4694213867188,0.03542922344998667,0.32552413642737765
2024-03-22,3306.6065368652344,0.025791190984138623,0.33391979159992297
2024-03-26,3318.1014099121094,0.00347633530591529,0.33508060876080564
2024-03-27,3279.1394653320312,-0.011742240446204533,0.3311460116838757
2024-03-28,3289.1357421875,0.0030484451671397572,0.33215549214281104
2024-04-01,3414.5040588378906,0.03811588407324651,0.34481589237561855
2024-04-02,3485.0369567871094,0.020656849935982935,0.35193870251996373
2024-04-03,3562.9900512695312,0.02236793912059043,0.3598108459921099
2024-04-04,3553.6707763671875,-0.002615577020492421,0.35886973301160896
2024-04-05,3761.211456298828,0.05840177466968499,0.37982836229472294
2024-04-08,3743.6666259765625,-0.004664675338283297,0.3780565863003462
2024-04-09,3677.669952392578,-0.017628886377341058,0.371391869696252
2024-04-10,3656.6153869628906,-0.005724974155440488,0.3692656608407002
2024-04-12,3628.4276428222656,-0.007708698114962886,0.366419103337057
2024-04-15,3510.794708251953,-0.032419809942472844,0.35453986564757833
2024-04-16,3527.0630493164062,0.0046338058520525305,0.356182734551802
2024-04-18,3562.583465576172,0.010070819762252325,0.35976978667389936
2024-04-19,3548.9734497070312,-0.003820265826933955,0.35839537045230574
2024-04-22,3682.0145568847656,0.0374872083612563,0.37183061238016096
2024-04-23,3680.201202392578,-0.0004924897672652362,0.37164748960840777
2024-04-24,3700.1712341308594,0.00542634237641626,0.37366417613035857
2024-04-25,3722.3045654296875,0.0059817046018484366,0.37589932485226346
2024-04-26,3771.1358032226562,0.013118549794791434,0.38083057886316635
2024-04-29,3872.3160705566406,0.026830183958774345,0.3910483333511916
2024-04-30,3862.914276123047,-0.00242795119568906,0.3900988870826594
2024-05-02,3944.735107421875,0.021181114943339185,0.3983616164492259
2024-05-03,3893.5667724609375,-0.012971298089107686,0.39319434917500423
2024-05-06,3767.334991455078,-0.03242060259469348,0.3804467514379223
2024-05-07,3674.0125122070312,-0.02477148420825792,0.3710225207425948
2024-05-08,3742.6397094726562,0.01867908643141769,0.3779528824755482
2024-05-09,3621.7482299804688,-0.03230112671177243,0.3657445785276259
2024-05-10,3655.1741333007812,0.009229217824589853,0.36912011491102015
2024-05-13,3636.1619262695312,-0.005201450420114773,0.3672001549342434
2024-05-14,3809.9900512695312,0.04780538615295837,0.3847543001363011
2024-05-15,3812.525146484375,0.0006653810589345444,0.38501030835995537
2024-05-16,3822.961639404297,0.00273742271039068,0.3860642443217944
2024-05-17,3881.812744140625,0.015394113330809756,0.3920073610518576
2024-05-21,4051.264923095703,0.043652847296886454,0.40911959852310975
2024-05-22,4098.3963623046875,0.011633758863878407,0.41387919727881434
2024-05-23,4098.281768798828,-2.7960571825969005e-05,0.41386762497979157
2024-05-24,4042.7225952148438,-0.013556699299440367,0.408256946038167
2024-05-27,4114.680572509766,0.017799385339992035,0.41552366873842866
2024-05-28,3994.0629272460938,-0.029313975444295703,0.4033430181165067
2024-05-29,4006.58984375,0.003136384361511091,0.404608056850852
2024-05-30,3910.529083251953,-0.023975691109958452,0.39490729905919547
2024-05-31,3971.7283935546875,0.015649879849977122,0.40108755084135084
2024-06-03,4157.495788574219,0.046772431700262906,0.41984739091890366
2024-06-04,3656.2530212402344,-0.12056362599609072,0.3692290671047225
2024-06-05,3713.8847045898438,0.015762498660462088,0.3750490397803643
2024-06-06,3823.5704956054688,0.029533978499674207,0.386125730057561
2024-06-07,3879.885223388672,0.014728309010629603,0.3918127091268037
2024-06-10,3884.7003784179688,0.0012410560498723466,0.3922989706598824
2024-06-11,3969.427947998047,0.02181058030904892,0.400855238864617
2024-06-12,4026.8272399902344,0.014460343592112901,0.4066517433492978
2024-06-13,3974.8677978515625,-0.01290332041629827,0.40140458560701553
2024-06-14,3973.1677856445312,-0.00042769025122046944,0.40123290877895623
2024-06-18,4018.3334045410156,0.011367659593856771,0.4057939879038084
2024-06-19,3961.6148071289062,-0.014114955555458164,0.400066223799874
2024-06-20,3985.5562438964844,0.0060433530096100085,0.4024839652175183
2024-06-21,4168.837005615234,0.045986243952629735,0.4209926910290328
2024-06-24,4251.243103027344,0.019767167030304122,0.42931452387114094
2024-06-25,4149.637939453125,-0.023900106653949038,0.41905386096253133
2024-06-26,4232.653350830078,0.020005458931169784,0.4274372257679654
2024-06-27,4222.533142089844,-0.0023909845435959864,0.4264152299677966
2024-06-28,4196.659149169922,-0.006127599724916832,0.4238023281219456
2024-07-01,4266.628448486328,0.016672619059435734,0.4308682228952248
2024-07-02,4375.218780517578,0.025451087045035514,0.44183428754107096
2024-07-03,4569.523681640625,0.044410328001943,0.4614562931732747
2024-07-04,4554.5076904296875,-0.003286117384896925,0.4599398936259079
2024-07-05,4721.069549560547,0.03657077130001407,0.4767602502874538
2024-07-08,4936.491851806641,0.04562997854292283,0.49851481027818884
2024-07-09,4844.129150390625,-0.018710190189458742,0.489187503365622
2024-07-10,4946.8089599609375,0.02119675309689728,0.4995566900925507
2024-07-11,5304.3856201171875,0.07228430753045978,0.5356667995080993
2024-07-12,5463.361846923828,0.02997071446007138,0.5517211162018968
2024-07-15,5481.253845214844,0.0032749063291661606,0.553527951177281
2024-07-16,5265.3453369140625,-0.0393903501639995,0.5317242913548467
2024-07-18,5061.178558349609,-0.038775572256028346,0.5111063776751313
2024-07-19,5165.596618652344,0.020631174952417286,0.5216511027722432
2024-07-22,5168.476989746094,0.0005576066631585164,0.521941978902993
2024-07-23,5004.2864990234375,-0.031767673736073365,0.5053610964080422
2024-07-24,5149.7982177734375,0.02907741568721045,0.5200556910804432
2024-07-25,5045.1614990234375,-0.020318605569606296,0.5094888846191507
2024-07-26,5024.518249511719,-0.004091692508894851,0.5074042127665893
2024-07-29,5141.735412597656,0.023329035196026693,0.5192414635048332
2024-07-30,5138.769500732422,-0.0005768308999268834,0.5189419489841604
2024-07-31,5105.204620361328,-0.006531696034684953,0.5155523779137489
2024-08-01,5085.88134765625,-0.003785014341640691,0.5136010047694783
2024-08-02,5049.971405029297,-0.007060711835816136,0.5099746160762154
2024-08-05,4784.680145263672,-0.052533220188419216,0.48318400727937905
2024-08-06,4713.675842285156,-0.014839926771030298,0.4760135919944201
2024-08-07,4899.344177246094,0.039389287930102324,0.4947634284281306
2024-08-08,4857.241668701172,-0.008593498848367798,0.49051167947571894
2024-08-09,4846.848907470703,-0.00213964260774524,0.48946215978671603
2024-08-12,4900.874359130859,0.01114651038056591,0.4949179548316729
2024-08-13,4792.537994384766,-0.022105517670382935,0.48397753723575154
2024-08-14,4728.339294433594,-0.01339555367665135,0.4774943901574165
2024-08-16,4822.063781738281,0.01982186164495947,0.4869592178953611
2024-08-19,4872.171630859375,0.010391370041777037,0.49201939132376615
2024-08-20,4816.459686279297,-0.011434725375274013,0.4863932847046694
2024-08-21,4796.8829345703125,-0.004064552178180358,0.48441631381987077
2024-08-22,4973.095520019531,0.03673481047020877,0.502211255296721
2024-08-23,5063.786468505859,0.01823631742467957,0.5113697391625588
2024-08-26,5013.569885253906,-0.00991680505571757,0.5062985851478905
2024-08-27,5009.997955322266,-0.0007124524068461424,0.5059378715023191
2024-08-28,4996.153900146484,-0.0027632855939739853,0.5045398206705508
2024-08-29,4988.546539306641,-0.0015226434156924151,0.5037715864346521
2024-08-30,4862.453399658203,-0.02527652867521668,0.49103798948437727
2024-09-02,4855.330047607422,-0.0014649707596748884,0.4903186331878931
2024-09-03,4850.4019775390625,-0.0010149814780949784,0.4898209688568425
2024-09-04,4800.159637451172,-0.010358386855470858,0.4847472137715018
2024-09-05,4795.343841552734,-0.0010032574460366872,0.48426088751984003
2024-09-06,4686.912780761719,-0.022611738464181852,0.4733109069828088
2024-09-09,4620.746551513672,-0.014117230753607823,0.4666290676907331
2024-09-10,4756.821105957031,0.02944860812562511,0.4803706442451833
2024-09-11,4686.595520019531,-0.01476313369227944,0.4732788682023452
2024-09-12,4750.850341796875,0.013710340801306398,0.4797676827794559
2024-09-13,4740.761505126954,-0.0021235854518846242,0.47874885510802107
2024-09-16,4700.7742919921875,-0.00843476582644409,0.4747107206255067
